이름,설명,개발도
SuccesiveFiring,"순차사격, 지원 시 3연타",완성
Pressure,"압박, 사기 일정 이하 적은 후퇴 유도",완성
Reload,"장전, 1턴간 행동 불가 상태이상 부여",완성
Fire,"불, 지원한 칸에 불 상태 부여",완성
Fear,"공포, 사기 일정 이하 적을 처형",완성
Cover,"아군에게만 지원가능, 지원시 엄호버프를 부여",완성
CounterAttack,"반격, 공격받으면 피해 반사",완성
CloseRangeShooting,"근접 사격, 직접 전투 가능",완성
Sniping,"저격, 혼란 상태이상 부여",완성
PsychologicalWarfare,"심리전, 처치한 적을 패잔 상태로 아군화",완성
Surprise,"기습, 첫 턴 피해 면역",완성
Shielded,"방패장착, 원거리 피해 50% 감소",완성
Armored,"갑주장착, 매턴 보호 1 획득",완성
Heavy,"무거움, 공격한 턴에 이동 불가",완성
AreaAttack,"범위공격, 공격시 2x2 범위공격",기획만
Relentless,상대유닛이 전투상태에서 뒤로 이동 시(후퇴 시) 데미지를 가함(더 강력하게 만들려면 아예 뒤로 못빼게 만들수도 있음.),기획중
Healer,턴마다 전체 아군 유닛 사기 회복,기획만
Boost,모든 유닛에게 Aggressive 부여,기획만
